"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Billions)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 20-Jun-2024"
"NIFTY 50","24,787.65","25,136.20","24,783.65","24,793.25","25,112.40","-","319.15","1.29","57,46,54,035","557.82","26,277.35","21,743.65","1.20","6.56"
"TRENT","5,756.00","6,030.00","5,720.00","5,723.50","5,950.00","-","226.50","3.96","1,04,24,185","61.39","8,345.00","4,488.00","8.34","10.50"
"JIOFIN","283.20","295.00","283.00","284.10","293.50","-","9.40","3.31","2,10,62,467","6.14","368.30","198.65","7.25","-19.50"
"M&M","3,100.00","3,203.00","3,090.30","3,094.80","3,189.90","-","95.10","3.07","83,15,834","26.39","3,270.95","2,425.00","3.03","10.91"
"BHARTIARTL","1,880.00","1,949.00","1,874.00","1,877.00","1,934.00","-","57.00","3.04","1,62,28,526","31.29","1,949.00","1,372.85","6.27","40.22"
"NESTLEIND","2,338.10","2,398.00","2,318.90","2,318.90","2,383.10","-","64.20","2.77","1,14,70,597","27.06","2,778.00","2,110.00","-1.35","-7.06"
"HDFCLIFE","760.80","781.20","758.00","761.85","778.00","-","18.25","2.40","52,56,299","4.09","791.10","575.65","2.53","32.00"
"POWERGRID","285.55","294.50","285.05","286.45","292.70","-","6.25","2.18","3,30,14,151","9.66","366.25","247.30","-1.03","-9.69"
"RELIANCE","1,431.00","1,471.00","1,428.10","1,433.30","1,464.10","-","30.80","2.15","2,90,10,635","42.43","1,608.80","1,114.85","2.59","-50.25"
"BEL","399.00","410.00","397.75","398.55","407.05","-","8.50","2.13","12,25,52,435","49.94","410.00","240.25","6.59","30.89"
"SHRIRAMFIN","652.00","670.90","650.50","652.20","663.95","-","11.75","1.80","74,41,267","4.95","730.45","493.35","1.27","-76.25"
"HDFCBANK","1,931.60","1,969.90","1,931.60","1,935.30","1,963.10","-","27.80","1.44","1,64,50,204","32.25","1,996.30","1,588.05","1.97","17.69"
"ETERNAL","249.01","254.15","249.01","249.42","253.00","-","3.58","1.44","5,02,01,710","12.66","304.70","189.56","10.16","-"
"HCLTECH","1,713.90","1,742.60","1,709.10","1,713.90","1,736.90","-","23.00","1.34","27,19,770","4.72","2,012.20","1,302.75","5.32","20.54"
"SBIN","787.50","799.45","786.10","785.10","795.25","-","10.15","1.29","1,13,67,669","9.03","899.00","680.00","1.15","-5.64"
"NTPC","330.00","336.00","329.70","330.05","334.20","-","4.15","1.26","1,65,92,862","5.52","448.45","292.80","-3.16","-6.28"
"ADANIENT","2,428.00","2,461.30","2,415.00","2,420.60","2,449.60","-","29.00","1.20","30,02,549","7.35","3,315.00","2,025.00","-2.08","-24.88"
"ADANIPORTS","1,338.00","1,356.70","1,334.60","1,338.00","1,353.90","-","15.90","1.19","45,41,583","6.11","1,604.95","995.65","-2.55","-8.17"
"SBILIFE","1,787.10","1,821.00","1,779.10","1,789.40","1,810.70","-","21.30","1.19","16,69,329","3.02","1,936.00","1,372.55","2.66","24.42"
"JSWSTEEL","993.95","1,024.00","993.60","996.05","1,007.55","-","11.50","1.15","96,97,195","9.76","1,074.90","854.15","0.46","8.16"
